GridID,rho_roe,n_roe,rho_moose,n_moose,rho_wolf,n_wolf
324,-0.24316221747202585,10.0,0.0,9.0,,
325,-0.39999999999999997,5.0,,,,
329,-0.5389318178609666,8.0,-0.6071428571428572,7.0,,
330,0.30779350562554625,5.0,,,,
332,,,-0.6785714285714287,7.0,,
333,-0.642857142857143,7.0,-0.21428571428571433,7.0,,
347,0.39999999999999997,9.0,-0.41208791208791207,13.0,,
348,-0.7362637362637362,13.0,-0.8627450980392157,17.0,,
349,-0.22424242424242422,10.0,-0.6713286713286714,12.0,,
350,-0.07142857142857144,8.0,-0.5941474602165634,9.0,,
353,-0.10259783520851543,5.0,,,,
354,-0.4790085098851302,9.0,0.8073734277593312,11.0,,
355,,,-0.6107893935757621,8.0,,
357,0.10714285714285716,7.0,0.4642857142857144,7.0,,
358,,,0.3188740696088466,6.0,,
369,-0.23636363636363633,10.0,0.1515151515151515,10.0,,
372,0.6573026333696965,12.0,0.4507154017305592,12.0,,
373,-0.6847124716486249,7.0,0.00836827408755723,9.0,,
374,,,-0.7387687194103584,7.0,,
376,,,-0.11904761904761905,8.0,,
377,,,0.3,5.0,,
392,-0.15762208124782012,7.0,0.8285714285714287,6.0,,
393,-0.7071067811865475,5.0,0.39999999999999997,5.0,,
396,,,-0.49999999999999994,5.0,,
402,-0.6668859288553503,5.0,,,,
425,-0.3214285714285715,7.0,,,-0.2571428571428572,6.0
